"session","round","playerid","alterid","previouslytie","nowtie","playeraction","alteraction","other_d","action_num","break_tie","make_tie","state","CC","DD","player_empanel_id","alter_empanel_id"
"e1.2_2017-08-24",2,"U6TIZF22","8xSP33VT",0,1,"C","C",0,1,0,1,"CC",1,0,"4135950385_78419_01","063329_S02_02"
"e1.2_2017-08-24",2,"U6TIZF22","gtw6tUet",1,1,"C","C",0,0,0,0,"CC",1,0,"4135950385_78419_01","1682633998_78419_01"
"e1.2_2017-08-24",2,"U6TIZF22","YsqB1Gnw",1,1,"C","D",1,0,0,0,"CD",0,0,"4135950385_78419_01","070133_S02_01"
"e1.5_2017-09-06",2,"uaj5qefo","4MEMPAHc",0,1,"C","C",0,1,0,1,"CC",1,0,"4209514667_78419_01","4148905031_78419_01"
"e1.5_2017-09-06",2,"uaj5qefo","ctPYgH2O",1,1,"C","C",0,0,0,0,"CC",1,0,"4209514667_78419_01","4209524955_78419_01"
"e1.5_2017-09-06",2,"uaj5qefo","S9a33uXU",0,1,"C","C",0,1,0,1,"CC",1,0,"4209514667_78419_01","4191195351_5107_01"
"experiment-1.9-viscous-03_43.csv",2,"uBLXJeGr","Kk19y4uE",0,1,"C","C",0,1,0,1,"CC",1,0,"4198736146_78419_01","079616_S02_01"
"e1.5_2017-09-06",2,"uXJWcSH5","16hkBHE1",1,1,"C","C",0,0,0,0,"CC",1,0,"025702_S01_HH","4198730040_78419_01"
"e1.5_2017-09-06",2,"uXJWcSH5","Aosqpm7K",0,1,"C","C",0,1,0,1,"CC",1,0,"025702_S01_HH","4198745311_78419_01"
"e1.2_2017-08-24",2,"V8er8tZD","raYY3tzu",1,1,"C","C",0,0,0,0,"CC",1,0,"4109808109_78419_01","4224781187_78419_01"
"e1.2_2017-08-24",2,"V8er8tZD","RqcdeZA7",1,1,"C","C",0,0,0,0,"CC",1,0,"4109808109_78419_01","81614639_23694_01"
"e1.5_2017-09-06",2,"VJyZMbUX","6eq39r0t",0,1,"C","C",0,1,0,1,"CC",1,0,"4210177559_78419_01","1590401214_78419_01"
"e1.5_2017-09-06",2,"VJyZMbUX","c6i3AAwk",0,1,"C","C",0,1,0,1,"CC",1,0,"4210177559_78419_01","4198734039_78419_01"
"e1.5_2017-09-06",2,"VJyZMbUX","L3XqYDJz",1,1,"C","C",0,1,0,1,"CC",1,0,"4210177559_78419_01","008751_S01_HH"
"e1.5_2017-09-06",2,"VJyZMbUX","S9a33uXU",0,0,"C","C",0,0,0,0,"CC",1,0,"4210177559_78419_01","4191195351_5107_01"
"e1.8_2017-09-17",2,"w0pqJYEi","OSo4hIty",0,1,"C","C",0,1,0,1,"CC",1,0,"4109809643_78419_01","4206014237_78419_01"
"e1.8_2017-09-17",2,"wU4n9hI1","w0pqJYEi",0,1,"C","C",0,1,0,1,"CC",1,0,"4198699806_78419_01","4109809643_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"WYtjZQsH","iutftQuX",1,1,"C","C",0,0,0,0,"CC",1,0,"93110829_23694_01","4209515398_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"WYtjZQsH","YU0ujkMc",1,1,"C","D",1,0,0,0,"CD",0,0,"93110829_23694_01","4141903968_78419_01"
"e1.2_2017-08-24",2,"xA3rMUGc","2eCW1FlE",1,1,"C","C",0,0,0,0,"CC",1,0,"4224782522_78419_01","4142230532_78419_01"
"e1.2_2017-08-24",2,"xA3rMUGc","V8er8tZD",1,1,"C","C",0,0,0,0,"CC",1,0,"4224782522_78419_01","4109808109_78419_01"
"e1.1_2017-09-03",2,"xmxbvHV7","2Jq2iaa0",0,1,"C","C",0,1,0,1,"CC",1,0,"4191198844_5107_01","4182985182_78419_01"
"e1.5_2017-09-06",2,"Xu1iETkg","4MEMPAHc",0,1,"C","C",0,1,0,1,"CC",1,0,"4198746872_78419_01","4148905031_78419_01"
"e1.5_2017-09-06",2,"Xu1iETkg","6eq39r0t",1,1,"C","C",0,0,0,0,"CC",1,0,"4198746872_78419_01","1590401214_78419_01"
"e1.5_2017-09-06",2,"Xu1iETkg","HDIRa6VS",0,1,"C","C",0,1,0,1,"CC",1,0,"4198746872_78419_01","4135951463_78419_01"
"e1.5_2017-09-06",2,"Xu1iETkg","S9a33uXU",1,1,"C","C",0,0,0,0,"CC",1,0,"4198746872_78419_01","4191195351_5107_01"
"e1.1_2017-09-03",2,"xVhTD9ye","JxdStep4",0,1,"C","C",0,1,0,1,"CC",1,0,"1936662885_78419_01","4210175671_78419_01"
"e1.1_2017-09-03",2,"xVhTD9ye","tLntXonO",1,1,"C","C",0,0,0,0,"CC",1,0,"1936662885_78419_01","4182955498_78419_01"
"e1.1_2017-09-03",2,"xVhTD9ye","XY8hOWgz",0,1,"C","C",0,1,0,1,"CC",1,0,"1936662885_78419_01","4198748387_78419_01"
"e1.1_2017-09-03",2,"xVhTD9ye","ZoBQOtGx",0,1,"C","C",0,1,0,1,"CC",1,0,"1936662885_78419_01","4141904285_78419_01"
"e1.1_2017-09-03",2,"XY8hOWgz","HgL5wQXl",0,1,"C","C",0,1,0,1,"CC",1,0,"4198748387_78419_01","4198723823_78419_01"
"e1.1_2017-09-03",2,"XY8hOWgz","jTcyevlw",0,1,"C","C",0,1,0,1,"CC",1,0,"4198748387_78419_01","4083364193_78914_01"
"e1.1_2017-09-03",2,"XY8hOWgz","JxdStep4",1,1,"C","C",0,0,0,0,"CC",1,0,"4198748387_78419_01","4210175671_78419_01"
"e1.1_2017-09-03",2,"XY8hOWgz","qqUGu3kS",1,1,"C","C",0,0,0,0,"CC",1,0,"4198748387_78419_01","4191252363_5107_01"
"e1.1_2017-09-03",2,"XY8hOWgz","tLntXonO",0,1,"C","C",0,1,0,1,"CC",1,0,"4198748387_78419_01","4182955498_78419_01"
"experiment-1.1-fluid-03_43.csv",2,"XyjZvgn5","5mUXA5bH",1,1,"C","C",0,1,0,1,"CC",1,0,"4210175416_78419_01","059621_S02_02"
"experiment-1.1-fluid-03_43.csv",2,"XyjZvgn5","A9JZ1kn5",1,1,"C","C",0,0,0,0,"CC",1,0,"4210175416_78419_01","4142230299_78419_01"
"experiment-1.1-fluid-03_43.csv",2,"XyjZvgn5","QShMToNs",0,1,"C","C",0,1,0,1,"CC",1,0,"4210175416_78419_01","4141908830_78419_01"
"e1.1_2017-09-03",2,"ybzRLCfv","7MDqjRqy",1,1,"C","C",0,0,0,0,"CC",1,0,"014897_S01_01","4142237231_78419_01"
"e1.1_2017-09-03",2,"ybzRLCfv","JxdStep4",0,1,"C","C",0,1,0,1,"CC",1,0,"014897_S01_01","4210175671_78419_01"
