"playerid","group","round_num","group_connect","connect","condition","session","ingroup","biased","identities","empanel_id"
"Sx3WY8DF",0,5,3,0,"Biased-4","e2.1_2017-09-03",0,1,1,"4142236580_78419_01"
"tEB5uO21",0,5,1,0,"Biased-2","e2.3_2017-08-28",0,1,0,"4193052637_78419_01"
"tEB5uO21",0,5,0,0,"Biased-2","e2.3_2017-08-28",1,1,0,"4193052637_78419_01"
"U8hihsFv",2,5,0,1,"Biased-4","e2.1_2017-09-03",0,1,1,"4198726251_78419_01"
"U8hihsFv",2,5,2,1,"Biased-4","e2.1_2017-09-03",1,1,1,"4198726251_78419_01"
"U8hihsFv",2,5,1,1,"Biased-4","e2.1_2017-09-03",0,1,1,"4198726251_78419_01"
"uiAFosTU",2,5,0,0,"Biased-4","e2.1_2017-09-03",0,1,1,"4224810545_78419_01"
"uiAFosTU",2,5,1,0,"Biased-4","e2.1_2017-09-03",0,1,1,"4224810545_78419_01"
"uiAFosTU",2,5,2,0,"Biased-4","e2.1_2017-09-03",1,1,1,"4224810545_78419_01"
"uiAFosTU",2,5,3,0,"Biased-4","e2.1_2017-09-03",0,1,1,"4224810545_78419_01"
"UPZNWdHw",3,5,1,1,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"098602_3992_02"
"UPZNWdHw",3,5,0,1,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"098602_3992_02"
"UPZNWdHw",3,5,2,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"098602_3992_02"
"UvZf1gPO",3,5,0,0,"Biased-4","e2.2_2017-08-24",0,1,1,"4224772930_78419_01"
"UvZf1gPO",3,5,1,0,"Biased-4","e2.2_2017-08-24",0,1,1,"4224772930_78419_01"
"UvZf1gPO",3,5,2,0,"Biased-4","e2.2_2017-08-24",0,1,1,"4224772930_78419_01"
"UvZf1gPO",3,5,3,0,"Biased-4","e2.2_2017-08-24",1,1,1,"4224772930_78419_01"
"uzQawXg5",1,5,2,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"4182930205_78419_01"
"VG1N0gwz",0,5,0,1,"Biased-2","e2.3_2017-08-28",1,1,0,"4210176637_78419_01"
"vGsN046v",0,5,1,0,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",0,0,0,"070457_S02_01"
