"playerid","round_num","group_coop","decision0d1c","group","condition","session","ingroup","biased","identities","empanel_id"
"DJ8LGEZY",1,1,1,"1","Biased-4","e2.1_2017-09-01",1,1,1,"4224828504_78419_01"
"DJWdsL8d",1,2,1,"2","Biased-4","e2.1_2017-08-24",1,1,1,"072544_S02_01"
"DJWdsL8d",1,0,1,"2","Biased-4","e2.1_2017-08-24",0,1,1,"072544_S02_01"
"dKSCJBQ8",1,0,1,"2","Biased-4","e2.1_2017-08-24",0,1,1,"4141908521_78419_01"
"dKSCJBQ8",1,2,1,"2","Biased-4","e2.1_2017-08-24",1,1,1,"4141908521_78419_01"
"dKSCJBQ8",1,3,1,"2","Biased-4","e2.1_2017-08-24",0,1,1,"4141908521_78419_01"
"Du9Kh9Zi",1,0,1,"0","Biased-2","e2.4_2017-09-01",1,1,0,"010477_S01_HH"
"dYfzbDKZ",1,0,0,"2","Biased-4","e2.1_2017-08-24",0,1,1,"4098583988_78419_01"
"dYfzbDKZ",1,3,0,"2","Biased-4","e2.1_2017-08-24",0,1,1,"4098583988_78419_01"
"dYfzbDKZ",1,2,0,"2","Biased-4","e2.1_2017-08-24",1,1,1,"4098583988_78419_01"
"EALWRNpD",1,1,1,"1","Unbiased-2","e2.6_2017-09-09",1,0,0,"4224774488_78419_01"
"EALWRNpD",1,0,0,"1","Unbiased-2","e2.6_2017-09-09",0,0,0,"4224774488_78419_01"
"EAWggsx2",1,0,1,"1","Biased-2","e2.4_2017-08-28",0,1,0,"4142192439_78419_01"
"eLk1kYxt",1,0,1,"0","Biased-2","e2.3_2017-09-06",1,1,0,"4141905505_78419_01"
"eO5jet6P",1,1,1,"1","Biased-2","e2.3_2017-08-28",1,1,0,"1975424113_78419_01"
"EovwaTW8",1,2,1,"0","Biased-4","e2.1_2017-08-23",0,1,1,"1696767687_78419_01"
"EovwaTW8",1,0,1,"0","Biased-4","e2.1_2017-08-23",1,1,1,"1696767687_78419_01"
"eqcJ4jve",1,3,1,"3","Biased-4","e2.4_2017-08-21",1,1,1,"4222261623_78419_01"
"eU62ovxG",1,0,0,"0","Biased-2","e2.3_2017-08-28",1,1,0,"4198698469_78419_01"
"eU62ovxG",1,1,0,"0","Biased-2","e2.3_2017-08-28",0,1,0,"4198698469_78419_01"
"EZ86FtBN",1,0,0,"3","Biased-4","e2.1_2017-08-24",0,1,1,"4222260107_78419_01"
"EZ86FtBN",1,3,1,"3","Biased-4","e2.1_2017-08-24",1,1,1,"4222260107_78419_01"
"EZ86FtBN",1,2,1,"3","Biased-4","e2.1_2017-08-24",0,1,1,"4222260107_78419_01"
"EZk45OGB",1,0,1,"0","Biased-2","e2.3_2017-09-06",1,1,0,"4174336493_78419_01"
"EZk45OGB",1,1,1,"0","Biased-2","e2.3_2017-09-06",0,1,0,"4174336493_78419_01"
"eZr5Bmd3",1,2,1,"2","Biased-4","e2.1_2017-08-23",1,1,1,"4175653989_92326_01"
"eZr5Bmd3",1,1,0,"2","Biased-4","e2.1_2017-08-23",0,1,1,"4175653989_92326_01"
"eZr5Bmd3",1,0,1,"2","Biased-4","e2.1_2017-08-23",0,1,1,"4175653989_92326_01"
"f7cmoZxN",1,1,0,"1","Unbiased-2","e2.6_2017-09-09",1,0,0,"145708_3992_01"
"f7cmoZxN",1,0,0,"1","Unbiased-2","e2.6_2017-09-09",0,0,0,"145708_3992_01"
"fgcHkh83",1,1,1,"1","Biased-2","e2.3_2017-09-06",1,1,0,"1869095040_78419_01"
"fgcHkh83",1,0,1,"1","Biased-2","e2.3_2017-09-06",0,1,0,"1869095040_78419_01"
"fIbIygzK",1,3,1,"1","Biased-4","e2.2_2017-08-21",0,1,1,"4141912491_78419_01"
"fIbIygzK",1,1,1,"1","Biased-4","e2.2_2017-08-21",1,1,1,"4141912491_78419_01"
"fIbIygzK",1,0,1,"1","Biased-4","e2.2_2017-08-21",0,1,1,"4141912491_78419_01"
"FQdWWYbL",1,3,1,"0","Biased-4","e2.1_2017-09-01",0,1,1,"86073282_23694_01"
"FV95AWtf",1,1,1,"0","Biased-2","e2.3_2017-09-06",0,1,0,"4182978590_78419_01"
"FV95AWtf",1,0,1,"0","Biased-2","e2.3_2017-09-06",1,1,0,"4182978590_78419_01"
"fZhwr54A",1,0,1,"0","Biased-2","e2.3_2017-09-06",1,1,0,"4222260257_78419_01"
"fZhwr54A",1,1,1,"0","Biased-2","e2.3_2017-09-06",0,1,0,"4222260257_78419_01"
"ggsLbDfz",1,2,0,"2","Biased-4","e2.2_2017-08-24",1,1,1,"015419_S01_HH"
"ggsLbDfz",1,1,1,"2","Biased-4","e2.2_2017-08-24",0,1,1,"015419_S01_HH"
"gp0kahEm",1,0,0,"1","Biased-4","e2.3_2017-08-21",0,1,1,"4142203207_78419_01"
"gp0kahEm",1,1,1,"1","Biased-4","e2.3_2017-08-21",1,1,1,"4142203207_78419_01"
"GV56CWVE",1,1,0,"1","Biased-2","e2.4_2017-08-31",1,1,0,"1759047013_78419_01"
"GV56CWVE",1,0,1,"1","Biased-2","e2.4_2017-08-31",0,1,0,"1759047013_78419_01"
"Gvw2kAUr",1,0,1,"2","Biased-4","e2.1_2017-08-24",0,1,1,"006297_S01_HH"
"Gvw2kAUr",1,2,0,"2","Biased-4","e2.1_2017-08-24",1,1,1,"006297_S01_HH"
"H0kC41XP",1,2,0,"2","Biased-4","e2.1_2017-09-03",1,1,1,"4142214247_78419_01"
"H0kC41XP",1,3,0,"2","Biased-4","e2.1_2017-09-03",0,1,1,"4142214247_78419_01"
"h5yhEjIi",1,0,1,"0","Biased-4","e2.2_2017-08-21",1,1,1,"038138_S01_01"
"h5yhEjIi",1,3,1,"0","Biased-4","e2.2_2017-08-21",0,1,1,"038138_S01_01"
"h9QwRCg4",1,0,1,"0","Biased-2","e2.3_2017-09-06",1,1,0,"4210174049_78419_01"
"h9QwRCg4",1,1,0,"0","Biased-2","e2.3_2017-09-06",0,1,0,"4210174049_78419_01"
"hBbqBxNW",1,0,1,"0","Biased-2","e2.4_2017-09-01",1,1,0,"4222262517_78419_01"
"hBbqBxNW",1,1,1,"0","Biased-2","e2.4_2017-09-01",0,1,0,"4222262517_78419_01"
"hEsQGRRN",1,0,1,"1","Biased-2","e2.3_2017-08-28",0,1,0,"4224814466_78419_01"
"hEsQGRRN",1,1,1,"1","Biased-2","e2.3_2017-08-28",1,1,0,"4224814466_78419_01"
"HgL5wQXl",1,0,1,"0","Unbiased-2","e2.6_2017-09-09",1,0,0,"4198723823_78419_01"
"HgL5wQXl",1,1,1,"0","Unbiased-2","e2.6_2017-09-09",0,0,0,"4198723823_78419_01"
"HjzenM9h",1,1,1,"0","Biased-4","e2.2_2017-08-21",0,1,1,"4191229405_5107_01"
"HjzenM9h",1,0,1,"0","Biased-4","e2.2_2017-08-21",1,1,1,"4191229405_5107_01"
"Hw6QadAx",1,0,0,"0","Biased-2","e2.3_2017-09-06",1,1,0,"4224812772_78419_01"
"Hw6QadAx",1,1,1,"0","Biased-2","e2.3_2017-09-06",0,1,0,"4224812772_78419_01"
"i7IIFMIb",1,0,1,"1","Biased-2","e2.3_2017-08-31",0,1,0,"4210182356_78419_01"
